domain,unit,author,sample,Almandine,Andradite,Grossular,Pyrope,Spessartine,Uvarovite
Briançonnais,Siviez-Mischabel nappe,Thelin1990,B51-core,"43,0713143971",0,"24,4698651282","31,0679287519","1,3908917227",0
Briançonnais,Siviez-Mischabel nappe,Thelin1990,B51-rim,"44,2250304286",0,"19,4348272682","35,4566722502","0,8834700529",0
Briançonnais,Siviez-Mischabel nappe,Thelin1990,F660-core,"53,0734081921",0,"27,9647108658","16,4353821135","2,5264988286",0
Briançonnais,Siviez-Mischabel nappe,Thelin1990,F660-rim,"51,1642548572",0,"27,3173036674","20,2008517826","1,3175896929",0
Briançonnais,Siviez-Mischabel nappe,Thelin1990,B63-core,"61,9636492586",0,"25,734690917","8,4816124342","3,8200473901",0
Briançonnais,Siviez-Mischabel nappe,Thelin1990,B63-rim,"53,2148871613",0,"34,6496518437","6,7017015143","5,4337594807",0
Briançonnais,Zone Houillère,Bucher2007,Rui9906-core,"45,9302154582","1,8993317879","7,335205427","2,6102359262","42,2250114006",0
Briançonnais,Zone Houillère,Bucher2007,Rui9906-rim,"46,568726342","3,4635002993","8,3082840182","2,8731787617","38,7863105788",0
Briançonnais,Pontis nappe,Bucher2007,Cere0035,"70,4637218822","8,323603755","5,7010234791","8,3678232472","7,1438276365",0
Briançonnais,Internal unit,Bucher2007,Vga0139,"63,7049980779","5,9136405558","15,9502195285","3,5881111756","10,8430306623",0
Briançonnais,Internal unit,Bucher2007,Cret006,"59,0160604597","5,7396072551","19,1724889327","2,3977342102","13,6741091422",0
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA122C,"23,7865411673",0,"36,9468703256","4,9392871664","34,3273013408",0
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA12 I,"32,3597734767",0,"32,7792919765","6,7742488632","28,0402241412","0,0464615424"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA122I,"31,4841312386",0,"36,2278720622","6,4708425868","25,541360294","0,2757938184"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA122R,"41,4433922887",0,"42,0243673323","11,1788330514","5,2505889307","0,1028183968"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA123C,"32,5693894873",0,"33,1658354307","6,8541328814","27,3636327695","0,0470094311"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA123C,"30,7273512864",0,"36,6280206377","6,5423151381","25,8234728874","0,2788400504"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA123R,"42,2806185588",0,"43,160050543","10,9954353603","3,5121329251","0,0517626128"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA123R,"42,9585900294",0,"41,0739796976","11,5715921488","4,3958381242",0
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA194C,"34,8307616449",0,"52,2858754799","7,2391370827","5,5970175932","0,0472081993"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA194C,"33,2577144014",0,"53,599953726","8,5705049845","4,5718268881",0
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA194 I,"33,5884442846",0,"53,7980780412","10,6330500378","1,9804276364",0
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA194I,"33,9834851502",0,"52,3804705012","11,2540069457","1,8609284617","0,5211089411"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA194R,"36,3373031691",0,"42,7331043174","19,8170221626","1,1125703509",0
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA194R,"36,7368088642",0,"43,1765502429","18,7928556872","0,9583360603","0,3354491453"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA198C,"31,3756570224",0,"47,2594393395","7,0403929223","14,3245107158",0
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA198C,"35,8721405836",0,"51,0152929815","9,1519922605","3,9605741744",0
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA198R,"38,1437550521",0,"42,6076633768","17,4924545071","1,756127064",0
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA198R,"39,076020851",0,"44,6007362742","14,8340924866","1,4399758595","0,0491745286"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA104C,"45,506487346",0,"44,0211463101","4,6879949072","5,5179620269","0,2664094098"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA104C,"42,3636729675",0,"42,2870677238","11,057564675","4,1888021055","0,1028925282"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA104R,"39,3443816667",0,"36,7952454226","9,7983714761","14,0620014346",0
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA104R,"44,2612737741",0,"40,997970532","12,6066366264","1,977404371","0,1567146965"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA137C,"48,4141455008",0,"36,229730513","5,4818195497","9,6562398188","0,2180646178"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA137C,"48,8081435617",0,"36,5749640336","4,8147180606","9,6927300104","0,1094443337"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA137R,"39,6436502815",0,"45,6614787083","6,0207802174","8,6241940719","0,0498967209"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA137R,"37,0447715107",0,"47,3470949398","7,9214776727","7,6866558768",0
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA138C,"43,9050944206",0,"41,7686611988","4,3795095042","9,3132252062","0,6335096703"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA138C  ,"46,9332281633",0,"38,6771690534","4,9861711682","9,1890014304","0,2144301847"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA138R,"39,1702291058",0,"47,5016721172","6,5782438435","6,6492088014","0,1006461321"
Piemont,Zermatt-Saas and Combin,Cartwright2002,ICA138R,"40,4708581046",0,"44,505686627","5,8484338613","9,1750214071",0
Piemont,Zermatt-Saas,Bucher2009,876,"39,2340896376","1,0200887461","11,5434873465","45,7562738663","2,4460604034",0
Piemont,Zermatt-Saas,Bucher2009,876,"39,5955480428","0,2826476697","19,3512337935","38,5623677367","2,2082027573",0
Piemont,Zermatt-Saas,Bucher2009,876,"47,3817596937",0,"25,5710749138","25,8174600208","1,2297053717",0
Piemont,Zermatt-Saas,Bucher2009,876,"36,2071494792","1,7081810909","34,1119069755","26,0137417276","1,9590207267",0
Piemont,Zermatt-Saas,Bucher2009,876,"52,3319810549",0,"35,683483009","9,4847348875","2,4998010486",0
Piemont,Zermatt-Saas,Bucher2009,876,"49,6168006413",0,"19,5538358403","29,4444126061","1,3849509123",0
Piemont,Zermatt-Saas,Bucher2009,875,"43,6114260956","0,8067915866","15,4256482442","37,8662154834","2,2899185902",0
Piemont,Zermatt-Saas,Bucher2009,875,"63,0855416306","0,3063368813","25,4066118357","8,9530719257","2,2484377268",0
Piemont,Zermatt-Saas,Bucher2009,875,"44,408917413","0,9850799129","21,9558308345","30,2482761718","2,4018956677",0
Piemont,Zermatt-Saas,Bucher2009,875,"54,0594526533","0,0194965497","31,5454147252","13,0907973149","1,2848387569",0
Piemont,Zermatt-Saas,Bucher2009,875,"54,1363345576",0,"34,1927361853","10,33610021","1,3348290472",0
Piemont,Zermatt-Saas,Bucher2009,877,"50,4960115426","0,6646355419","22,3377019719","16,1209191219","5,101397882","5,2793339397"
Piemont,Zermatt-Saas,Bucher2009,881,"52,5648340523","0,9681939475","30,4911260037","14,9880920919","0,9877539045",0
Piemont,Zermatt-Saas,Bucher2009,881,"48,6273732533","1,0516619284","19,9241489762","28,4016615278","1,9951543143",0
Piemont,Zermatt-Saas,Bucher2009,881,"47,1012644599","0,8438549355","24,4876935304","25,9369664037","1,6302206704",0
Piemont,Zermatt-Saas,Bucher2009,878,"50,7210022697",0,"29,2764315984","19,1141279102","0,8884382217",0
Piemont,Zermatt-Saas,Bucher2009,878,"55,0921095888",0,"24,9478457199","18,3840897207","1,5759549706",0
Piemont,Zermatt-Saas,Bucher2009,878,"50,8235878711",0,"23,6231714129","24,3874429965","1,1657977195",0
Piemont,Zermatt-Saas,Bucher2009,878,"51,0487409197",0,"28,3352009595","19,4547551727","1,1613029481",0
Piemont,Zermatt-Saas,Bucher2009,878,"57,0135032892",0,"24,5676023623","16,7910273171","1,6278670314",0
Piemont,Zermatt-Saas,Bucher2009,878,"55,0909134384",0,"21,553687997","22,264025936","1,0913726286",0
Piemont,Zermatt-Saas,Bucher2009,878,"56,7961670176",0,"27,5575684264","14,8369144294","0,8093501266",0
Piemont,Zermatt-Saas,Bucher2009,874,"49,5223078652","0,4133315349","27,6593069161","20,4134473877","1,9916062961",0
Piemont,Zermatt-Saas,Bucher2009,874,"50,8422491509","0,6275074668","25,3343158417","20,5669719003","2,6289556402",0
Piemont,Zermatt-Saas,Bucher2009,874,"45,0955811217","1,0736352348","32,0591407285","19,9412283491","1,8304145659",0
Piemont,Zermatt-Saas,Bucher2009,874,"54,8208047977","0,3800533758","27,8093901562","14,3469641323","2,642787538",0
Piemont,Zermatt-Saas,Bucher2009,874,"48,1472528473","0,1826830535","28,2732672868","21,860539052","1,5362577603",0
Piemont,Zermatt-Saas,Bucher2009,1192,"46,3589288101","2,5362636843","19,0612551599","26,2795221165","4,3618691045","1,4021611247"
Piemont,Zermatt-Saas,Bucher2009,1193,"50,3303678397","0,1400549916","40,5918128879","6,1261524555","2,8116118253",0
Piemont,Zermatt-Saas,Bucher2009,1193,"41,4874095503","0,0924628951","40,1096544389","15,6511687025","2,6593044132",0
Southern Alps,Ivrea Zone,Hunziker1980,Iv533-I,"64,6758375785",0,"3,6716493347","30,9213392182","0,7311738685",0
Southern Alps,Ivrea Zone,Hunziker1980,Iv533-P,"67,7715456923",0,"3,6350639111","27,7755148124","0,8178755842",0
Southern Alps,Ivrea Zone,Hunziker1980,Iv533-I,"63,8831770614",0,"6,2425115911","25,3860311454","4,4882802021",0
Southern Alps,Ivrea Zone,Hunziker1980,Iv530-4I,"71,8444208785",0,"5,6912750626","19,5173884666","2,9469155922",0
Southern Alps,Ivrea Zone,Hunziker1980,Iv528-4I,"73,4626609565",0,"5,5314520654","17,8502845629","3,1556024153",0
Southern Alps,Ivrea Zone,Hunziker1980,Iv528-5P,"69,8953800192","0,1002432475","2,6740629427","23,9062916296","3,424022161",0
Southern Alps,Ivrea Zone,Hunziker1980,KAW85-6P,"73,9636462618",0,"2,9198443013","19,127553013","3,988956424",0
Southern Alps,Ivrea Zone,Hunziker1980,VS41-6I,"62,5715854046",0,"2,4453433447","34,3679906554","0,6150805953",0
Southern Alps,Ivrea Zone,Hunziker1980,VS41-3P,"63,542733033",0,"2,3656603739","33,4535660321","0,6380405611",0
Piemont,Zermatt-Saas,Oberhäsl1980,PVB 878,"55,2383288866","0,1858284683","16,9672793691","26,4934318275","1,1151314486",0
Piemont,Zermatt-Saas,Oberhäsl1980,PVB 891,"54,2889379049",0,"19,2915568023","25,8677505714","0,5517547214",0
Piemont,Zermatt-Saas,Oberhäsl1980,PVB 891,"56,6649612841",0,"19,8075468481","22,9508367383","0,5766551295",0
Piemont,Zermatt-Saas,Oberhäsl1980,PVB 892,"55,3811582635","1,2158419046","16,9224871282","26,4805127037",0,0
Piemont,Zermatt-Saas,Oberhäsl1980,PVB 892,"56,1559707858","0,4765952761","16,1292453818","26,4081718922","0,8300166642",0
Piemont,Zermatt-Saas,Oberhäsl1980,PVB 892,"55,0401834163","0,1141767552","17,5796244175","26,7752283511","0,4907870599",0
Piemont,Zermatt-Saas,Oberhäsl1980,PB 1296,"50,5424957577","0,3930241468","17,9982755267","30,0724663126","0,9937382561",0
Piemont,Zermatt-Saas,Oberhäsl1980,PB 1296,"62,6516966833","1,4027901632","17,1551560882","17,737660293","1,0526967723",0
Piemont,Zermatt-Saas,Oberhäsl1980,PB 1296,"51,4563047956",0,"18,7255930721","29,2182663267","0,5998358056",0
Piemont,Zermatt-Saas,Oberhäsl1980,PB 1296,"50,3979086976","0,4204632154","17,7452761081","30,7128453101","0,7235066688",0
Piemont,Zermatt-Saas,Oberhäsl1980,PB 1296,"53,23501103","1,591076273","15,8014824557","28,6849656984","0,6874645429",0
Piemont,Zermatt-Saas,Oberhäsl1980,PB 1544,"53,340971951","0,1003753508","21,4204661824","24,5424071517","0,5957793641",0
Piemont,Zermatt-Saas,Oberhäsl1980,PB 1544,"55,7766610005","0,630937671","19,9036155801","22,3285927489","1,3601929995",0
Piemont,Zermatt-Saas,Oberhäsl1980,PB 1699,"60,7444304528","0,866538949","19,1870041372","18,2839929484","0,9180335126",0
Piemont,Zermatt-Saas,Oberhäsl1980,PB 1699,"62,9225085601","0,6893612081","19,0099335598","15,9604391682","1,4177575038",0
Piemont,Zermatt-Saas,Oberhäsl1980,PB 1699,"60,1921926837",0,"18,4889366967","20,419424006","0,8994466136",0
Piemont,Zermatt-Saas,Oberhäsl1980,PB 1699,"60,4280172286","0,021089289","22,6046568231","14,8432999831","2,1029366763",0
Piemont,Zermatt-Saas,Oberhäsl1980,PB 1699,"63,653470247","0,4106122502","20,3492645","14,1049261544","1,4817268484",0
Piemont,Zermatt-Saas,Oberhäsl1980,PB 2069,"52,7766340529","1,4637259255","19,365582981","24,6018246188","1,7922324217",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Rim,"61,5437943747",0,"9,879064293","26,2384168976","2,3387244347",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Rim,"64,0027126337",0,"12,069708728","20,8760392173","3,051539421",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Inclusion-poor layers,"47,9451922031",0,"22,5595479313","28,1407836835","1,354476182",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Inclusion-poor layers,"46,2735188581",0,"23,3146139661","29,2759706831","1,1358964927",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Inclusion-poor layers,"45,6302732922",0,"24,1871511146","28,9347820542","1,247793539",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Inclusion-poor layers,"45,9301842888",0,"23,236743493","29,5472227643","1,2858494539",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Inclusion-poor layers,"45,5758097293",0,"24,1983265792","28,8102128668","1,4156508247",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Inclusion-poor layers,"45,5383591418",0,"24,8266034613","28,3365238024","1,2985135945",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Inclusion-poor layers,"45,5058794437",0,"24,2616454965","29,2442188529","0,9882562069",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Inclusion-poor layers,"46,7778398489",0,"23,9249077066","28,1243352076","1,1729172369",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Inclusion-poor layers,"47,6495189657",0,"21,6349852391","29,4374661011","1,278029694",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Inclusion-rich core,"53,0379673418",0,"12,1898777061","32,7597278108","2,0124271414",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Inclusion-rich core,"57,4341274087",0,"10,2105862698","30,106441599","2,2488447226",0
Sesia Dent-Blanche,Valepelline unit,Gardien1994,Inclusion-rich core,"55,0771135484",0,"9,5823364204","32,671603713","2,6689463181",0
Briançonnais,Pontis nappe,Giorgis1999,core,"71,2048285748","1,4555879951","10,5277292792","5,4641354375","11,3155170615","0,032201652"
Briançonnais,Pontis nappe,Giorgis1999,rim,"79,6148358086","1,9478521292","8,7641036954","7,6952201519","1,9459345164","0,0320536984"
Briançonnais,Pontis nappe,Giorgis1999,minute,"77,2337721319","0,7708043904","3,7478123274","7,6300314274","10,5852903997","0,0322893232"
Piemont,Zermatt-Saas,Weber2015,LX15 core,"59,7659883453","0,0428934185","28,5923920976","11,1294503071","0,4692758315",0
Piemont,Zermatt-Saas,Weber2015,LX15 rim,"54,1431678842","0,1536334672","22,5935298139","21,5488621697","1,5608066649",0
Piemont,Zermatt-Saas,Weber2015,LX28 core,"58,7411457363","0,8552364769","29,9877176132","9,8390693706","0,5768308029",0
Piemont,Zermatt-Saas,Weber2015,LX28 rim,"54,7355858252","2,0564123529","24,342180573","16,9327108066","1,9331104422",0
Piemont,Zermatt-Saas,Weber2015,KB896 core,"49,9987133543","1,0427870446","32,9199674413","5,0652834744","10,9732486855",0
Piemont,Zermatt-Saas,Weber2015,KB896 rim,"57,6013220944",0,"29,9884864574","11,9699553402","0,440236108",0
Piemont,Zermatt-Saas,Weber2015,SW9 core,"55,2964610519","0,8075268154","33,7063335536","4,1441459005","6,0455326785",0
Piemont,Zermatt-Saas,Weber2015,SW9 rim,"60,6746936395","0,8234996099","31,0668707362","6,2128973339","1,2220386805",0
Piemont,Zermatt-Saas,Weber2015,OK-Z126 core,"53,1707598627","1,8568760371","29,7964594001","4,9680383484","10,2078663516",0
Piemont,Zermatt-Saas,Weber2015,OK-Z126 rim,"56,4109998644","2,5259499154","34,3626015424","4,4885155934","2,2119330844",0
Piemont,Zermatt-Saas,Weber2015,KB915 core,"48,9910854057","1,4733517088","34,6593075339","3,1146699918","11,7615853599",0
Piemont,Zermatt-Saas,Weber2015,KB915 rim,"56,2762115839","1,6597702917","34,7409059882","7,1673270824","0,1557850537",0
Piemont,Zermatt-Saas,Weber2015,KB861 core,"57,86126885","2,5202811828","32,3923929703","4,7634078957","2,4626491012",0
Piemont,Zermatt-Saas,Weber2015,KB861 rim,"56,7572702372","3,0031195012","31,9225179246","8,2947544191","0,0223379179",0
Piemont,Zermatt-Saas,Weber2015,SW17 core,"62,5296882963","1,4203338335","27,4417643719","4,7867686159","3,8214448823",0
Piemont,Zermatt-Saas,Weber2015,SW17 rim,"63,5472590848","0,7692367331","24,3049390673","10,2414304408","1,137134674",0
Piemont,Zermatt-Saas,Weber2015,SW17 rim,"61,4109613192","1,0971423132","20,150912629","15,7894383302","1,5515454084",0
Piemont,Zermatt-Saas,Weber2015,SW10 core,"59,4645473376","1,1108541647","27,2976778914","8,8223315483","3,3045890579",0
Piemont,Zermatt-Saas,Weber2015,SW10 rim,"63,1119186305","0,4404087331","22,2309478999","13,3654143362","0,8513104003",0
Piemont,Zermatt-Saas,Weber2015,SW10 rim,"62,8652868719","3,014988281","20,3890125058","12,7269318585","1,0037804828",0
Sesia Dent-Blanche,Mont Emilius,DalPiaz1983,6736,"60,4044589448",0,"27,1652185903","10,4760217757","1,9543006892",0
Sesia Dent-Blanche,Mont Emilius,DalPiaz1983,6858,"57,2141544866","0,7243840515","30,7306461921","11,0595491916","0,2712660783",0
Sesia Dent-Blanche,Mont Emilius,DalPiaz1983,6886,"61,6500599773","3,8334278992","24,8887738041","9,4681602341","0,1595780854",0
Sesia Dent-Blanche,Mont Emilius,DalPiaz1983,6907,"64,3923839691","0,2926278872","19,4677148353","14,1040503862","1,7432229222",0
Sesia Dent-Blanche,Mont Emilius,DalPiaz1983,7283,"58,5964497498","0,2535201327","29,7430750104","9,7194222139","1,6875328932",0
Sesia Dent-Blanche,Mont Emilius,DalPiaz1983,7298,"63,9005379825","2,943032641","2,4257358175","29,6418782765","1,0888152825",0
Sesia Dent-Blanche,Mont Emilius,DalPiaz1983,7279,"54,5986445583","1,2352991784","27,3364315253","15,7909003436","1,0387243943",0
Sesia Dent-Blanche,Mont Emilius,DalPiaz1983,7286,"29,9439402076","1,8344608064","60,1598272369","1,8019435985","6,2598281506",0
Sesia Dent-Blanche,Mont Emilius,DalPiaz1983,7291,"8,6180165255","17,4790213166","69,9505890942","2,3247387601","1,6276343036",0
Sesia Dent-Blanche,Mont Emilius,DalPiaz1983,7298c,"68,3262821916","7,5042172322","2,0506043602","20,5003219835","1,6185742325",0
Briançonnais,Dora Maira Massif,Schertl1991,15632c rim,"1,0479242821","0,7114035282","0,0654011789","98,1752710108",0,0
Briançonnais,Dora Maira Massif,Schertl1991,15632c core,"0,9197320081","0,6328735576",0,"98,4089095292","0,038484905",0
Briançonnais,Dora Maira Massif,Schertl1991,15615a rim,"0,5603376882","0,5116963234","0,3136586779","98,6143073105",0,0
Briançonnais,Dora Maira Massif,Schertl1991,15615a core,"2,6314129597","0,9802310871","0,9790923284","95,3705411631","0,0387224616",0
Briançonnais,Dora Maira Massif,Schertl1991,15591,"22,3255561067","2,1260660001","0,1876443972","75,035568871","0,3251646251",0
Briançonnais,Dora Maira Massif,Schertl1991,15591,"27,2402265752","1,690158811","3,0482336568","67,6695628425","0,3518181144",0
Briançonnais,Dora Maira Massif,Schertl1991,15618,"0,9814277881","6,2036939223","90,2497582246","0,1185055501","2,4466145148",0
Briançonnais,Dora Maira Massif,Schertl1991,15618,0,"96,6754691845",0,"0,0572044819","3,2673263336",0
Briançonnais,Dora Maira Massif,Schertl1991,17689,"36,792154865","3,7793007386","53,5628475928","0,9887882048","4,8769085987",0
Briançonnais,Dora Maira Massif,Schertl1991,17689,"43,0358528707","2,1532696181","45,6685507706","1,1491285441","7,9931981966",0
Sesia Dent-Blanche,Becca d’Aver unit,Kirst2014,FD356,"62,817240621","1,0778786201","17,9305083545","2,1173250498","15,8950735956","0,161973759"
Sesia Dent-Blanche,Becca d’Aver unit,Kirst2014,FD370,"22,8403064151","1,4586255203","21,6475434465","0,8029610005","53,1547392026","0,0958244149"
Sesia Dent-Blanche,Becca d’Aver unit,Kirst2014,FD370,"23,2837693576","1,5055976118","19,4708364832","0,9692964058","54,6419727135","0,128527428"
Sesia Dent-Blanche,Becca d’Aver unit,Kirst2014,FD370,"47,6549114392",0,"21,9358379574","1,7118455641","28,5707138005","0,1266912387"
Sesia Dent-Blanche,Becca d’Aver unit,Kirst2014,FD370,"51,9457654218","0,3667735616","29,0104631684","3,1499146276","15,5270832207",0
Sesia Dent-Blanche,Becca d’Aver unit,Kirst2014,FD372,"21,7150471441","1,6113293613","20,3724975555","0,8114845386","55,4250803312","0,0645610692"
Sesia Dent-Blanche,Becca d’Aver unit,Kirst2014,FD372,"22,2697792739","1,7826180059","21,0178158733","0,8926329925","53,9725927851","0,0645610692"
Sesia Dent-Blanche,Becca d’Aver unit,Kirst2014,FD374,"52,0812630348","1,0931404602","16,8046411147","1,1250544132","27,0098302578","1,8860707193"
