#############################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Title : Counting of heavy mineral grains with QemScan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Creator : Jérémy Ragusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Date : 17/09/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Comment : Abbreviations of rock-forming minerals from Whitney2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#############################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# AKS = Andalusite – Kyanite – Sillimanite,,,# Brt = Barite,,# Cst = Cassiterite,,,,# Ep = Epidote,,,# Ilm = Ilmenite,,,,# Fsp = Feldspars,# Ms = Muscovite,,,# Grs = Grossular,,,,# Uv = Uvarovite,,,,# Bt = Biotite,,,# Px = Pyroxenes,,,# Srp = Sepentinite,,,,# Syl = Sylvite,,,,# Tpz = Topaz,,,# Srl = Schorl,,,,,,,,,,
# Ap = Apatite,,,# Brl = Beryl,,# Chl = Chlorite,,,,# FeO = Fe Oxides,,,# Lim = Limonite,,,,# Grt = Garnet,,,,# Prp = Pyrope,,,,# Hbl = Hornblende,,,,# Ms = Muscovite,,,# Qz = Quartz,,,# Spl = Spinel,,,,# Tlc = Talc,,,,# Tur = Tourmaline,,,# Zrn = Zircon,,,,,,,,,,
# Mnz = Monazite,,,# Cal = Carbonates,,# Crn = Corundum,,,,# Hrm = Hematite,,,# OO = Other oxides,,,,# Alm = Almandin,,,,# Sps = Spessartine,,,,# Kln = Kaolinite,,,,# Py = Pyrite,,,# Rt = Rutile,,,# St = Staurolite,,,,# Ttn = Titanite – Sphene,,,,# Drv = Dravite,,,# Rhy = Rhyolite,,,,,,,,,,
#############################################,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,site,strati_order,provenance,AKS,Ap,Mnz,Xtm,Brt,Bauxite,Brl,Cal,Cst,Chl,Crn,Ep,FeO,Hem,Ilm,Lim,OO,Fsp,Grt,Alm,And,Grs,Prp,Sps,Uv,Alm-Prp,Alm-Prp-Grs,Alm-Sps,Hbl,Kln,Bt,Ms,Py,Px,Qz,Rt,Srp,Spl,St,Syl,Tlc,Ttn,Tpz,Tur,Drv,Srl,Zrn,Rhy,Undet,&tHM,FeO,other
JR5,Bons,1,quartzose,1,2960,179,0,232,0,0,182,0,1069,1,5,1369,0,414,3012,111,1493,34,140,0,3,0,0,0,1112,20,21,0,0,7449,356,892,2,7562,3138,0,33,66,0,0,1130,0,342,17,232,623,0,745,1164,4795,9982
JR273,Carrière de Fillinges 2,4,quartzose,11,4355,193,0,5,0,0,2194,0,972,0,1,756,5,8,1934,12,1869,16,202,0,0,0,0,0,592,5,20,2,10,1203,1168,4869,0,4394,2426,0,16,129,0,0,544,0,415,13,331,713,0,233,4904,2703,8690
JR329,Carrière des Châteaux des Allinges,5,quartzose,1,2866,368,1,3,0,0,32,0,648,0,0,418,1,6,1833,13,3584,37,295,0,0,0,0,0,626,23,54,4,29,560,801,530,1,8733,5401,0,21,66,0,0,2511,0,954,20,823,1205,0,108,560,2258,12457
JR330,Carrière des Châteaux des Allinges,6,quartzose,8,4596,644,9,3,0,0,1,3,605,0,4,1761,4,4,6258,1,1741,57,968,0,0,0,0,0,786,46,105,4,39,656,447,849,0,3234,7028,0,53,83,0,0,1082,0,1265,16,1159,2031,0,168,930,8027,5144
JR341,Sentier du Château des Allinges,7,quartzose,0,4369,827,4,0,0,0,0,1,114,0,1,719,2,8,7148,50,1317,39,414,0,0,0,0,0,218,14,40,3,16,985,247,12,0,3291,4113,0,27,69,0,0,723,0,3482,23,3169,1805,0,31,47,7877,4639
JR349,La Janière,8,quartzose,8,6517,840,1,0,0,0,22,5,129,0,0,634,20,35,3141,23,118,40,181,0,0,0,0,0,144,13,71,3,3,139,86,5,0,1341,9205,0,130,324,0,0,2928,0,1716,28,1393,4804,0,103,147,3830,1584
JR370,Torrent de Chauffemérande,12,quartzose,53,1646,273,0,1922,0,3,5,0,283,4,2,442,3,2909,3659,103,3789,323,495,0,8,0,0,0,701,20,49,5,19,1491,389,1340,0,9944,2342,0,26,95,0,0,2984,0,560,7,407,1253,0,338,3352,7013,14076
JR57,Torrent de Saxel,13,quartzose,4,2298,155,0,148,0,3,3,0,3374,0,21,17,2,524,8778,4,1323,156,3974,0,0,0,0,0,3031,25,258,127,20,6785,939,697,2,2484,3351,0,29,399,0,0,1645,0,646,10,247,767,0,377,1026,9321,4187
JR278,torrent Chez le Merizier,14,quartzose,58,4409,412,0,3415,0,0,1,0,525,14,4,128,12,1005,3097,0,755,36,499,0,0,0,0,0,1062,27,38,6,115,1001,426,7275,0,3826,9497,0,41,258,0,1,1619,0,1569,21,1225,1658,0,266,10814,4242,4848
JR352,Torrent de la Combe Ecuer,16,quartzose,37,7180,769,15,0,0,0,337,0,87,2,3,1941,59,60,3517,5,269,30,312,0,1,0,0,0,140,11,38,103,24,446,299,1937,0,1444,7361,0,50,590,0,0,2166,0,1228,15,858,1309,0,143,2147,5577,2193
JR353,Torrent de la Combe Ecuer,17,quartzose,29,5870,1046,0,12,0,1,690,3,679,3,0,199,10,458,5009,2,1193,68,699,0,15,0,0,0,749,36,93,3,14,1590,1114,7077,1,4473,7695,0,108,684,0,0,824,0,1736,14,1205,2148,0,553,7232,5676,6909
JR376,carrière des Fayaux,18,quartzose,0,8483,239,1,6,0,0,24,0,208,0,0,7,0,0,321,0,588,4,7,0,0,0,0,0,847,0,5,3,7,795,348,4073,0,10440,8019,0,136,0,0,0,525,0,934,24,512,1281,0,451,4219,328,11503
JR75,route de supersaxel,15,quartzose,39,1817,320,5,837,0,0,0,2,283,5,1,20,1,4011,1664,700,432,58,1006,0,1,0,0,0,628,31,66,7,102,211,196,6647,0,1502,2886,0,27,217,0,0,4192,0,754,7,702,1577,0,63,7568,5696,1997
JR20,Carrière Saxel supérieure,2,feldspathic,2,9617,579,2,67,0,0,12,1,3832,0,52,88,1,581,2714,0,1653,96,724,0,32,0,0,0,3228,25,83,7,2,3823,938,6025,0,3171,6375,0,23,25,0,2,3864,0,165,1,78,1535,0,229,6180,3384,5065
JR21,Carrière Saxel supérieure,3,feldspathic,4,7931,542,0,13,0,0,1,1,1708,0,13,201,9,71,9933,0,4862,99,1635,0,7,0,0,0,2235,96,106,4,4,1104,1241,255,1,4924,6395,0,27,94,0,1,1177,0,316,3,210,1311,0,344,317,10214,10131
JR375,Grotte au Loups,9,feldspathic,0,3647,246,0,0,0,0,0,0,2393,0,1,446,10,9,8622,103,2070,34,6438,0,0,0,0,0,3725,15,64,30,11,2131,1759,6,3,3008,6269,0,24,5,0,0,1102,0,232,16,21,594,0,142,61,9087,5220
JR331,Torrent de la Molertaz,10,feldspathic,0,4246,442,2,1,0,0,3,0,1405,0,19,767,43,135,13522,101,1276,85,5584,0,14,0,0,0,2234,3,79,6,62,807,938,17,3,3158,8919,0,45,80,0,1,2535,0,336,13,42,1513,1,99,91,14467,4536
JR347,torrent la Molertaz,11,feldspathic,30,5387,793,0,121,0,0,0,0,1400,1,7,111,50,68,5380,12,867,61,1377,0,0,0,0,0,2183,25,72,4,14,744,576,2583,0,3144,11429,1,63,360,0,0,2363,0,787,15,558,2052,0,196,2809,5609,4207
